"Carimbo de data/hora","Você é aluno: ","Qual o seu curso?","Você tem acesso à internet em casa?","Você considera sua internet: ","Que dispositivos você possui: ","Você tem condições de acompanhar as aulas à distância? ","Você teria disponibilidade de se deslocar de sua residência para acompanhar as aulas (se tivesse um espaço adequado para estudar na sua cidade e seguindo as normas de prevenção)?","Você conhece alguém que estuda na UnB e não tem acesso à internet (e não pode responder a esse questionário)?"
"2020/06/27 12:51:40 AM GMT","de Graduação","Turismo ","Sim","Moderada","Smartphone","Não","Não","Sim"
"2020/06/27 12:51:58 AM GMT","de Graduação","Filosofia ","Sim","Lenta","Smartphone","Sim","Não","Sim"
"2020/06/27 12:52:34 AM GMT","de Graduação","Ciências Contábeis","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 12:52:56 AM GMT","de Graduação","Biblioteconomia","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 12:53:03 AM GMT","de Graduação","Biblioteconomia ","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Sim","Sim"
"2020/06/27 12:53:36 AM GMT","de Graduação","Direito","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:54:13 AM GMT","de Graduação","Ciências Contábeis","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:55:08 AM GMT","de Graduação","Ciências biológicas","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:55:15 AM GMT","de Graduação","Filosofia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 12:55:49 AM GMT","de Graduação","Direito","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:56:44 AM GMT","de Graduação","Publicidade e propaganda ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:56:56 AM GMT","de Graduação","Administração ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 12:58:20 AM GMT","de Graduação","DIREITO ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 12:58:57 AM GMT","de Graduação","Administração","Sim","Moderada","Smartphone","Sim","Não","Sim"
"2020/06/27 1:01:40 AM GMT","de Graduação","Ciências contábeis ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:02:50 AM GMT","de Graduação","Ciências contábeis","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 1:03:37 AM GMT","de Graduação","LEA-Línguas Estrangeiras Aplicadas","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:06:12 AM GMT","de Graduação","Ciências Contábeis","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:06:14 AM GMT","de Graduação","Arquitetura ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:07:07 AM GMT","de Graduação","Ciências Contábeis ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:07:20 AM GMT","de Graduação","Engenharia de produção","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:08:01 AM GMT","de Graduação","Engenharia de Software","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:09:43 AM GMT","de Graduação","Agronomia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 1:11:23 AM GMT","de Graduação","Química","Não","Lenta","Smartphone","Não","Não","Sim"
"2020/06/27 1:12:39 AM GMT","de Graduação","Biblioteconomia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:13:27 AM GMT","de Graduação","Ciências contábeis ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:14:01 AM GMT","de Graduação","Biblioteconomia ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 1:14:54 AM GMT","de Graduação","Terapia Ocupacional","Sim","Moderada","Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 1:16:07 AM GMT","de Graduação","Ciências contábeis ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:17:34 AM GMT","de Graduação","Agronomia ","Sim","Moderada","Smartphone","Sim","Sim","Não"
"2020/06/27 1:17:37 AM GMT","de Graduação","Ciências Contábeis","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:18:00 AM GMT","de Graduação","Direito","Sim","Moderada","Smartphone","Não","Sim","Sim"
"2020/06/27 1:18:01 AM GMT","de Graduação","Engenharia Química ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:19:40 AM GMT","de Graduação","Ciências Contábeis","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 1:21:07 AM GMT","de Graduação","Ciências Contábeis","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:23:05 AM GMT","de Graduação","Ciências contabeis","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:23:23 AM GMT","de Graduação","Adm","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:23:54 AM GMT","de Graduação","Biotecnologia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:26:47 AM GMT","de Graduação","Direito ","Sim","Lenta","Smartphone","Não","Não","Sim"
"2020/06/27 1:26:54 AM GMT","de Graduação","História","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:28:47 AM GMT","de Graduação","Saude coletiva","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:29:51 AM GMT","de Graduação","Ciências Contábeis  ","Sim","Moderada","Smartphone","Não","Sim","Não"
"2020/06/27 1:32:25 AM GMT","de Graduação","Pedagogia","Sim","Moderada","Smartphone","Sim","Sim","Não"
"2020/06/27 1:32:51 AM GMT","de Graduação","Administração ","Sim","Rápida","Smartphone","Não","Sim","Não"
"2020/06/27 1:36:46 AM GMT","de Graduação","Engenharia Aeroespacial","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 1:36:56 AM GMT","de Graduação","Design - bacharelado","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 1:37:53 AM GMT","de Graduação","Línguas Estrangeiras Aplicadas","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:38:02 AM GMT","de Graduação","Engenharia de Software ","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:39:16 AM GMT","de Graduação","Biotecnologia ","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:41:40 AM GMT","de Graduação","Química ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:44:11 AM GMT","de Graduação","Engenharia de software","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:44:29 AM GMT","de Graduação","Farmácia","Sim","Moderada","Smartphone","Sim","Sim","Não"
"2020/06/27 1:45:39 AM GMT","de Graduação","Letras português licenciatura ","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 1:48:04 AM GMT","de Graduação","Engenharia Mecânica","Sim","Moderada","Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:49:41 AM GMT","de Graduação","Engenharias","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:51:19 AM GMT","de Graduação","Economia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:51:30 AM GMT","de Graduação","Engenharia elétrica ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:52:04 AM GMT","de Graduação","engenharia química","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:52:05 AM GMT","de Graduação","Saúde coletiva ","Sim","Moderada","Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 1:52:30 AM GMT","de Graduação","Engenharia Aeroespacial ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:53:49 AM GMT","de Graduação","Química tecnológica","Sim","Lenta","Smartphone","Não","Sim","Não"
"2020/06/27 1:54:25 AM GMT","de Graduação","Fonoaudiologia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:54:30 AM GMT","de Graduação","Engenharia Elétrica","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 1:54:32 AM GMT","de Graduação","Enfermagem ","Não","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 1:54:46 AM GMT","de Graduação","Saúde coletiva","Sim","Moderada","Smartphone","Sim","Sim","Não"
"2020/06/27 1:55:41 AM GMT","de Graduação","Agronomia","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:56:06 AM GMT","de Graduação","Espanhol","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:56:15 AM GMT","de Graduação","Letras português ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 1:56:22 AM GMT","de Graduação","Engenharia de software","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:56:48 AM GMT","de Graduação","biblioteconomia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 1:56:52 AM GMT","de Graduação","Geografia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:58:13 AM GMT","de Graduação","Ciências sociais ","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:59:16 AM GMT","de Graduação","Fisioterapia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 1:59:17 AM GMT","de Graduação","Pedagogia","Sim","Moderada","Smartphone","Sim","Não","Não"
"2020/06/27 2:00:23 AM GMT","de Graduação","Biologia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:00:46 AM GMT","de Graduação","Engenharia de redes","Sim","Moderada","Notebook e/ou computador","Não","Sim","Sim"
"2020/06/27 2:01:20 AM GMT","de Graduação","Medicina veterinaria ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:01:51 AM GMT","de Graduação","Fonoaudiologia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:02:21 AM GMT","de Graduação","Administração ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:02:56 AM GMT","de Graduação","Pedagogia","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 2:04:25 AM GMT","de Graduação","administração","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:04:46 AM GMT","de Graduação","Ciências Contábeis","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:05:02 AM GMT","de Graduação","Teoria, Crítica e História da Arte ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 2:05:11 AM GMT","de Graduação","Ciências Econômicas","Sim","Moderada","Smartphone","Não","Sim","Não"
"2020/06/27 2:05:34 AM GMT","de Graduação","Farmácia","Sim","Rápida","Smartphone","Sim","Sim","Não"
"2020/06/27 2:06:12 AM GMT","de Graduação","Artes Visuais ","Sim","Rápida","Smartphone","Não","Não","Não"
"2020/06/27 2:06:38 AM GMT","de Graduação","Terapia ocupacional","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:06:43 AM GMT","de Graduação","Ciências Contábeis ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:06:56 AM GMT","de Graduação","Engenharia Eletrônica","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:07:39 AM GMT","de Graduação","Ciências Contábeis ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:08:56 AM GMT","de Graduação","Nutrição","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 2:09:04 AM GMT","de Pós-graduação","Sistemas mecatrônicos","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:09:19 AM GMT","de Graduação","Agronomia","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:09:42 AM GMT","de Graduação","Engenharia de computação ","Sim","Lenta","Smartphone","Não","Não","Não"
"2020/06/27 2:09:44 AM GMT","de Graduação","Computação - Licenciatura","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 2:10:07 AM GMT","de Graduação","Fisioterapia","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:10:39 AM GMT","de Graduação","Ciências ambientais","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 2:11:27 AM GMT","de Graduação","Engenharia de Energia ","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Sim","Sim"
"2020/06/27 2:11:50 AM GMT","de Graduação","Letras Espanhol- licenciatura","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:12:08 AM GMT","de Graduação","Ciências Biológicas","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 2:13:15 AM GMT","de Graduação","Engenharia de software","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 2:13:31 AM GMT","de Graduação","Gestão de Políticas Públicas","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:13:53 AM GMT","de Graduação","Farmácia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:15:51 AM GMT","de Graduação","Ciencias naturais ","Não","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 2:16:22 AM GMT","de Graduação","Letras português","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:16:37 AM GMT","de Graduação","Letras ","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 2:16:41 AM GMT","de Graduação","Direito","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 2:17:02 AM GMT","de Graduação","Biblioteconomia","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 2:17:09 AM GMT","de Graduação","Química","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:21:00 AM GMT","de Graduação","Engenharia eletrônica ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:24:18 AM GMT","de Graduação","Engenharia de computação","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:24:27 AM GMT","de Graduação","Fonoaudiologia","Sim","Lenta","Smartphone","Não","Não","Sim"
"2020/06/27 2:25:38 AM GMT","de Graduação","Design","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:26:30 AM GMT","de Graduação","Engenharia de Computação","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:27:14 AM GMT","de Graduação","Engenharia de Software","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:28:57 AM GMT","de Graduação","Pedagogia ","Sim","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 2:29:13 AM GMT","de Graduação","Enfermagem ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:29:15 AM GMT","de Graduação","Comunicação Social- Publicidade ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:30:32 AM GMT","de Graduação","Física ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:32:27 AM GMT","de Graduação","Pedagogia ","Sim","Moderada","Smartphone","Sim","Não","Não"
"2020/06/27 2:32:34 AM GMT","de Graduação","Direito","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:33:46 AM GMT","de Graduação","Estatística","Sim","Lenta","Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 2:34:53 AM GMT","de Graduação","Engenharia de Software","Sim","Moderada","Smartphone;Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 2:35:42 AM GMT","de Graduação","Licenciatura em História","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:35:46 AM GMT","de Graduação","Engenharia de software","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:36:36 AM GMT","de Graduação","Engenharia Mecatrônica","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:37:23 AM GMT","de Graduação","Pedagogia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:40:50 AM GMT","de Graduação","Saúde Coletiva ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:41:58 AM GMT","de Graduação","Geografia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:44:48 AM GMT","de Graduação","Química","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:45:02 AM GMT","de Pós-graduação","Matemática","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:45:28 AM GMT","de Graduação","Ciências Ambientais","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:48:25 AM GMT","de Pós-graduação","Doutorado em educação","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 2:49:01 AM GMT","de Graduação","gestão do agronegócio","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Não","Não"
"2020/06/27 2:50:09 AM GMT","de Graduação","Ciências Sociais","Sim","Rápida","Smartphone;Notebook e/ou computador","Não","Sim","Sim"
"2020/06/27 2:50:58 AM GMT","de Graduação","Ciências Sociais","Sim","Lenta","Smartphone","Não","Não","Sim"
"2020/06/27 2:52:39 AM GMT","de Graduação","Contabilidade","Sim","Lenta","Notebook e/ou computador","Não","Sim","Não"
"2020/06/27 2:53:01 AM GMT","de Graduação","Engenharia mecânica ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:53:32 AM GMT","de Graduação","Filosofia ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 2:53:55 AM GMT","de Graduação","Pedagogia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 2:56:41 AM GMT","de Graduação","Enfermagem","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 2:59:46 AM GMT","de Graduação","Farmácia","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:01:38 AM GMT","de Graduação","Engenharia de software ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:03:32 AM GMT","de Graduação","Letras","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:06:24 AM GMT","de Graduação","Enfermagem","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:07:20 AM GMT","de Graduação","Medicina ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:10:19 AM GMT","de Graduação","Relações Internacionais","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 3:11:42 AM GMT","de Graduação","Administração ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:17:55 AM GMT","de Graduação","Contabeis","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:20:47 AM GMT","de Graduação","Geofísica","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 3:22:14 AM GMT","de Graduação","Direito ","Sim","Moderada","Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:24:26 AM GMT","de Graduação","Engenharia de Produção","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 3:25:07 AM GMT","de Graduação","Letras português licenciatura ","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:26:20 AM GMT","de Graduação","Administração ","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:26:49 AM GMT","de Pós-graduação","Engenharia Civil - PECC","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:27:35 AM GMT","de Graduação","Letras","Sim","Rápida","Smartphone;Tablet;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 3:28:21 AM GMT","de Graduação","Química tecnológica","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:28:36 AM GMT","de Graduação","Ciência da Computação","Não","Lenta","Smartphone","Não","Sim","Sim"
"2020/06/27 3:31:43 AM GMT","de Graduação","Enfermagem ","Sim","Moderada","Smartphone;Tablet;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:31:46 AM GMT","de Graduação","Biblioteconomia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Não","Sim"
"2020/06/27 3:32:07 AM GMT","de Graduação","adm","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:34:11 AM GMT","de Graduação","Fonoaudiologia ","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:35:19 AM GMT","de Graduação","Administração o","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:35:19 AM GMT","de Graduação","Odontologia","Sim","Lenta","Smartphone","Não","Sim","Não"
"2020/06/27 3:36:13 AM GMT","de Graduação","Enfermagem","Sim","Lenta","Smartphone;Notebook e/ou computador","Não","Não","Sim"
"2020/06/27 3:36:23 AM GMT","de Graduação","Odontologia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:40:35 AM GMT","de Graduação","Engenharia florestal","Sim","Rápida","Smartphone;Notebook e/ou computador","Sim","Sim","Sim"
"2020/06/27 3:43:38 AM GMT","de Graduação","História ","Sim","Moderada","Smartphone","Sim","Sim","Não"
"2020/06/27 3:47:00 AM GMT","de Graduação","Agronomia","Sim","Moderada","Smartphone;Notebook e/ou computador","Sim","Sim","Não"
"2020/06/27 3:48:55 AM GMT","de Graduação","Terapia Ocupacional","Não","Lenta","Smartphone","Não","Não","Não"
"2020/06/27 3:51:40 AM GMT","de Graduação","Ciências Ambientais","Sim","Lenta","Smartphone;Notebook e/ou computador","Sim","Não","Não"
"2020/06/27 3:53:03 AM GMT","de Graduação","Antropologia ","Sim","Moderada","Smartphone;Tablet","Sim","Não","Sim"
